Time,cali_obs_5,cali_obs_35,cali_obs_37,cali_obs_65
28/02/1970 00:00,64.3192,42.8491,35.3854,26.7149
01/03/1970 00:00,64.3148,42.8474,35.387,26.7134
02/03/1970 00:00,64.3104,42.8464,35.3882,26.72
03/03/1970 00:00,64.3061,42.8456,35.3892,26.7184
04/03/1970 00:00,64.3018,42.8449,35.3848,26.7174
05/03/1970 00:00,64.2976,42.8445,35.385,26.7229
06/03/1970 00:00,64.2932,42.8442,35.3809,26.7223
07/03/1970 00:00,64.2889,42.8439,35.3852,26.7295
08/03/1970 00:00,64.2846,42.8438,35.401,26.7295
09/03/1970 00:00,64.2803,42.8437,35.4175,26.7309
10/03/1970 00:00,64.2677,42.8437,35.4235,26.7382
11/03/1970 00:00,64.265,42.8438,35.4311,26.7393
12/03/1970 00:00,64.259,42.8439,35.4326,26.7467
13/03/1970 00:00,64.2538,42.8441,35.4278,26.7461
14/03/1970 00:00,64.2487,42.8444,35.4275,26.7458
15/03/1970 00:00,64.2438,42.8449,35.4208,26.749
16/03/1970 00:00,64.2389,42.8454,35.4153,26.748
17/03/1970 00:00,64.2341,42.846,35.409,26.7756
18/03/1970 00:00,64.2295,42.8385,35.4072,26.783
19/03/1970 00:00,64.2249,42.8437,35.4181,26.7856
20/03/1970 00:00,64.2202,42.8432,35.4407,26.7941
21/03/1970 00:00,64.216,42.8445,35.4534,26.7972
22/03/1970 00:00,64.2116,42.8453,35.4626,26.807
23/03/1970 00:00,64.2074,42.846,35.4774,26.8104
24/03/1970 00:00,64.2032,42.8466,35.4963,26.8189
25/03/1970 00:00,64.192,42.8473,35.5062,26.8221
26/03/1970 00:00,64.1883,42.8479,35.5083,26.8303
27/03/1970 00:00,64.1845,42.8486,35.504,26.8324
28/03/1970 00:00,64.1808,42.8492,35.5049,26.8397
29/03/1970 00:00,64.1772,42.8499,35.5041,26.8469
30/03/1970 00:00,64.1733,42.8505,35.5068,26.85
31/03/1970 00:00,64.1697,42.8512,35.5084,26.8571
01/04/1970 00:00,64.166,42.8518,35.5117,26.8647
02/04/1970 00:00,64.1625,42.8525,35.5232,26.869
03/04/1970 00:00,64.159,42.8531,35.5381,26.8817
04/04/1970 00:00,64.1555,42.8538,35.5425,26.8972
05/04/1970 00:00,64.1518,42.8545,35.547,26.9107
06/04/1970 00:00,64.1483,42.8552,35.5481,26.9256
07/04/1970 00:00,64.1448,42.856,35.5497,26.9399
08/04/1970 00:00,64.1414,42.8569,35.5461,26.9524
09/04/1970 00:00,64.1307,42.8576,35.5447,26.9635
10/04/1970 00:00,64.1277,42.8585,35.5378,26.9725
11/04/1970 00:00,64.1246,42.8595,35.5331,26.9793
12/04/1970 00:00,64.1214,42.8605,35.5359,26.9816
13/04/1970 00:00,64.1182,42.8618,35.5589,27.0262
14/04/1970 00:00,64.115,42.9066,35.5644,27.0386
15/04/1970 00:00,64.1116,42.9103,35.5589,27.0523
16/04/1970 00:00,64.1086,42.9217,35.5533,27.0648
17/04/1970 00:00,64.1055,42.9265,35.5511,27.0753
18/04/1970 00:00,64.1023,42.9317,35.5453,27.0802
19/04/1970 00:00,64.0991,42.9432,35.5408,27.0891
20/04/1970 00:00,64.0959,42.9486,35.5411,27.0928
21/04/1970 00:00,64.0928,42.9605,35.5414,27.1016
22/04/1970 00:00,64.0898,42.9662,35.5313,27.1041
23/04/1970 00:00,64.0865,42.9718,35.5355,27.1071
24/04/1970 00:00,64.0833,42.9772,35.5608,27.1113
25/04/1970 00:00,64.0801,42.9881,35.586,27.1144
26/04/1970 00:00,64.0772,42.9985,35.5923,27.1178
27/04/1970 00:00,64.0743,43.0032,35.5864,27.125
28/04/1970 00:00,64.0714,43.0117,35.5721,27.1263
29/04/1970 00:00,64.0687,43.016,35.5621,27.127
30/04/1970 00:00,64.0662,43.0199,35.562,27.1283
01/05/1970 00:00,64.0636,43.0284,35.5628,27.1292
02/05/1970 00:00,64.0611,43.0319,35.5609,27.1296
03/05/1970 00:00,64.0589,43.035,35.5523,27.1298
04/05/1970 00:00,64.057,43.0379,35.5409,27.1301
05/05/1970 00:00,64.0551,43.0406,35.5277,27.1382
06/05/1970 00:00,64.0535,43.0432,35.5106,27.1384
07/05/1970 00:00,64.0522,43.0457,35.49,27.1482
08/05/1970 00:00,64.0514,43.0575,35.4715,27.1481
09/05/1970 00:00,64.0507,43.0602,35.455,27.1484
10/05/1970 00:00,64.0587,43.0705,35.4384,27.1567
11/05/1970 00:00,64.0579,43.0732,35.4223,27.157
12/05/1970 00:00,64.0582,43.076,35.4068,27.1572
13/05/1970 00:00,64.0669,43.0867,35.3911,27.1572
14/05/1970 00:00,64.0674,43.0896,35.3828,27.1572
15/05/1970 00:00,64.0751,43.0926,35.3628,27.157
16/05/1970 00:00,64.0827,43.1038,35.3517,27.1562
17/05/1970 00:00,64.0829,43.1066,35.3433,27.1553
18/05/1970 00:00,64.0907,43.1094,35.331,27.1541
19/05/1970 00:00,64.0975,43.1192,35.3235,27.1444
20/05/1970 00:00,64.0967,43.1213,35.3153,27.1433
21/05/1970 00:00,64.1002,43.1234,35.3065,27.1306
22/05/1970 00:00,64.0994,43.1251,35.3016,27.1214
23/05/1970 00:00,64.1397,43.1269,35.3032,27.1211
24/05/1970 00:00,64.1479,43.137,35.3093,27.1201
25/05/1970 00:00,64.1568,43.1382,35.3103,27.1186
26/05/1970 00:00,64.1589,43.1394,35.3022,27.117
27/05/1970 00:00,64.1678,43.1403,35.2933,27.1148
28/05/1970 00:00,64.1769,43.1473,35.2857,27.1116
29/05/1970 00:00,64.1826,43.1485,35.2688,27.1097
30/05/1970 00:00,64.1878,43.1487,35.2669,27.096
31/05/1970 00:00,64.1894,43.149,35.2562,27.094
01/06/1970 00:00,64.1959,43.1492,35.2455,27.0868
02/06/1970 00:00,64.2007,43.1494,35.2357,27.0838
03/06/1970 00:00,64.2056,43.1493,35.2157,27.0804
04/06/1970 00:00,64.2061,43.1553,35.2005,27.0696
05/06/1970 00:00,64.213,43.1549,35.1859,27.0661
06/06/1970 00:00,64.2198,43.1539,35.1692,27.0611
07/06/1970 00:00,64.229,43.1538,35.1496,27.0571
08/06/1970 00:00,64.2369,43.1532,35.1314,27.0523
09/06/1970 00:00,64.235,43.1524,35.1133,27.041
10/06/1970 00:00,64.241,43.1515,35.0989,27.0359
11/06/1970 00:00,64.2457,43.1505,35.08,26.9858
12/06/1970 00:00,64.2427,43.1494,35.0615,26.9881
13/06/1970 00:00,64.2486,43.1483,35.0473,26.9866
14/06/1970 00:00,64.2449,43.1471,35.0291,26.9788
15/06/1970 00:00,64.2487,43.1458,35.0156,26.977
16/06/1970 00:00,64.2446,43.1444,34.9982,26.9743
17/06/1970 00:00,64.2411,43.143,34.9848,26.9715
18/06/1970 00:00,64.2444,43.1415,34.9675,26.9635
19/06/1970 00:00,64.2407,43.14,34.9541,26.9604
20/06/1970 00:00,64.237,43.1384,34.9357,26.9516
21/06/1970 00:00,64.2395,43.1367,34.9222,26.9489
22/06/1970 00:00,64.2356,43.135,34.9046,26.9388
23/06/1970 00:00,64.2317,43.1332,34.892,26.9361
24/06/1970 00:00,64.2335,43.1314,34.8757,26.9263
25/06/1970 00:00,64.2281,43.1299,34.8666,26.9139
26/06/1970 00:00,64.2235,43.1277,34.8628,26.9124
27/06/1970 00:00,64.2192,43.1216,34.8615,26.8913
28/06/1970 00:00,64.215,43.1197,34.8548,26.8997
29/06/1970 00:00,64.2106,43.1175,34.848,26.8973
30/06/1970 00:00,64.2392,43.1153,34.8451,26.895
01/07/1970 00:00,64.235,43.1131,34.8447,26.8851
02/07/1970 00:00,64.2309,43.111,34.8472,26.8845
03/07/1970 00:00,64.2267,43.1087,34.8531,26.8835
04/07/1970 00:00,64.2224,43.0965,34.8566,26.8742
05/07/1970 00:00,64.2183,43.0945,34.859,26.8733
06/07/1970 00:00,64.2199,43.0917,34.8557,26.8713
07/07/1970 00:00,64.2157,43.0898,34.8503,26.8698
08/07/1970 00:00,64.2114,43.0874,34.8433,26.8616
09/07/1970 00:00,64.2069,43.085,34.8332,26.8591
10/07/1970 00:00,64.2024,43.0826,34.8264,26.8517
11/07/1970 00:00,64.1981,43.0806,34.8155,26.8492
12/07/1970 00:00,64.1935,43.0689,34.8105,26.8467
13/07/1970 00:00,64.1889,43.0671,34.8066,26.839
14/07/1970 00:00,64.1843,43.0646,34.8043,26.8371
15/07/1970 00:00,64.1798,43.0623,34.808,26.835
16/07/1970 00:00,64.1752,43.0596,34.8269,26.8332
17/07/1970 00:00,64.1706,43.0571,34.8337,26.8312
18/07/1970 00:00,64.1661,43.0546,34.8324,26.8289
19/07/1970 00:00,64.1614,43.0514,34.8304,26.826
20/07/1970 00:00,64.165,43.0492,34.8302,26.8233
21/07/1970 00:00,64.1604,43.0388,34.8373,26.8208
22/07/1970 00:00,64.1558,43.0368,34.8306,26.8177
23/07/1970 00:00,64.1512,43.0352,34.8244,26.8147
24/07/1970 00:00,64.1465,43.0192,34.8229,26.8047
25/07/1970 00:00,64.1417,43.0176,34.8212,26.8018
26/07/1970 00:00,64.1369,43.0154,34.8209,26.7998
27/07/1970 00:00,64.1321,43.013,34.8411,26.7989
28/07/1970 00:00,64.1274,43.0104,34.9036,26.7977
29/07/1970 00:00,64.1227,43.0079,34.9323,26.7965
30/07/1970 00:00,64.118,43.0054,34.9475,26.7947
31/07/1970 00:00,64.1133,42.9919,34.9546,26.7921
01/08/1970 00:00,64.1084,42.9902,34.9453,26.7888
02/08/1970 00:00,64.1041,42.9881,34.9384,26.7852
03/08/1970 00:00,64.0996,42.9855,34.9277,26.7812
04/08/1970 00:00,64.0949,42.9828,34.9158,26.7769
05/08/1970 00:00,64.0906,42.9745,34.9058,26.7726
06/08/1970 00:00,64.0784,42.9721,34.8909,26.7679
07/08/1970 00:00,64.0742,42.9645,34.8797,26.763
08/08/1970 00:00,64.0699,42.9619,34.8587,26.758
09/08/1970 00:00,64.0653,42.9588,34.8505,26.7528
10/08/1970 00:00,64.0613,42.9563,34.8429,26.748
11/08/1970 00:00,64.0571,42.9538,34.836,26.7436
12/08/1970 00:00,64.0529,42.951,34.8366,26.7394
13/08/1970 00:00,64.0487,42.9482,34.838,26.7351
14/08/1970 00:00,64.0443,42.9454,34.8373,26.7307
15/08/1970 00:00,64.0399,42.9363,34.8314,26.7262
16/08/1970 00:00,64.0355,42.9338,34.8253,26.7216
17/08/1970 00:00,64.0312,42.9309,34.8247,26.7169
18/08/1970 00:00,63.9441,42.9282,34.8253,26.7126
19/08/1970 00:00,64.016,42.9253,34.8283,26.7005
20/08/1970 00:00,64.0121,42.9224,34.8299,26.6982
21/08/1970 00:00,64.0081,42.9195,34.826,26.6952
22/08/1970 00:00,64.004,42.9164,34.8196,26.6918
23/08/1970 00:00,64.0001,42.9066,34.8098,26.6881
24/08/1970 00:00,63.9961,42.9042,34.8033,26.6841
25/08/1970 00:00,63.9919,42.9008,34.7913,26.6797
26/08/1970 00:00,63.9883,42.8981,34.7813,26.6754
27/08/1970 00:00,63.951,42.895,34.7739,26.6711
28/08/1970 00:00,63.9537,42.892,34.7678,26.6668
29/08/1970 00:00,63.9517,42.889,34.7619,26.6624
30/08/1970 00:00,63.9492,42.8859,34.7552,26.658
31/08/1970 00:00,63.9465,42.8764,34.749,26.6534
01/09/1970 00:00,63.9438,42.8733,34.7415,26.6489
02/09/1970 00:00,63.9412,42.8672,34.7385,26.6406
03/09/1970 00:00,63.9384,42.8641,34.7352,26.6379
04/09/1970 00:00,63.9356,42.861,34.7443,26.6345
05/09/1970 00:00,63.9328,42.8509,34.7542,26.6313
06/09/1970 00:00,63.9301,42.8478,34.7643,26.6284
07/09/1970 00:00,63.9272,42.8446,34.7784,26.6259
08/09/1970 00:00,63.9164,42.8415,34.784,26.6161
09/09/1970 00:00,63.9141,42.8384,34.7899,26.6139
10/09/1970 00:00,63.9116,42.8352,34.7922,26.6117
11/09/1970 00:00,63.909,42.825,34.7977,26.6101
12/09/1970 00:00,63.9058,42.8216,34.8107,26.6087
13/09/1970 00:00,63.9038,42.8187,34.8315,26.6071
14/09/1970 00:00,63.9013,42.8157,34.8537,26.6061
15/09/1970 00:00,63.8988,42.8126,34.8797,26.6052
16/09/1970 00:00,63.8963,42.8094,34.9061,26.6041
17/09/1970 00:00,63.8938,42.7743,34.9273,26.6025
18/09/1970 00:00,63.8915,42.7688,34.9512,26.6029
19/09/1970 00:00,63.8891,42.7665,35.0002,26.6033
20/09/1970 00:00,63.8868,42.7644,35.0215,26.6025
21/09/1970 00:00,63.8839,42.7614,35.0258,26.601
22/09/1970 00:00,63.8821,42.76,35.0295,26.599
23/09/1970 00:00,63.8736,42.7581,35.0261,26.5964
24/09/1970 00:00,63.8716,42.7515,35.0185,26.5933
25/09/1970 00:00,63.8696,42.749,35.0077,26.5958
26/09/1970 00:00,63.8676,42.7468,35.0035,26.5917
27/09/1970 00:00,63.8656,42.7447,34.9996,26.5878
28/09/1970 00:00,63.8638,42.7427,34.9957,26.5836
29/09/1970 00:00,63.8619,42.7406,34.9902,26.579
30/09/1970 00:00,63.8518,42.7385,34.984,26.5798
01/10/1970 00:00,63.8514,42.7309,34.9815,26.5756
02/10/1970 00:00,63.8499,42.7286,34.9818,26.5716
03/10/1970 00:00,63.8484,42.7267,34.9883,26.5679
04/10/1970 00:00,63.8468,42.7247,34.9932,26.5647
05/10/1970 00:00,63.8447,42.7143,35.006,26.567
06/10/1970 00:00,63.8435,42.7138,35.0244,26.5648
07/10/1970 00:00,63.834,42.7119,35.0469,26.5628
08/10/1970 00:00,63.8337,42.7098,35.0667,26.5606
09/10/1970 00:00,63.8326,42.7077,35.0767,26.5582
10/10/1970 00:00,63.8314,42.7056,35.0836,26.5559
11/10/1970 00:00,63.8302,42.697,35.0883,26.5532
12/10/1970 00:00,63.829,42.695,35.0863,26.555
13/10/1970 00:00,63.8278,42.693,35.0838,26.551
14/10/1970 00:00,63.8266,42.6909,35.0803,26.547
15/10/1970 00:00,63.818,42.6808,35.0794,26.5432
16/10/1970 00:00,63.8171,42.6796,35.0787,26.5393
17/10/1970 00:00,63.8162,42.6777,35.0811,26.5355
18/10/1970 00:00,63.8153,42.6757,35.0766,26.5315
19/10/1970 00:00,63.8143,42.6737,35.0718,26.5363
20/10/1970 00:00,63.8033,42.6634,35.0673,26.533
21/10/1970 00:00,63.8043,42.6617,35.076,26.5387
22/10/1970 00:00,63.8036,42.6598,35.0921,26.5359
23/10/1970 00:00,63.8025,42.6573,35.1001,26.5335
24/10/1970 00:00,63.8019,42.6558,35.1037,26.5393
25/10/1970 00:00,63.8011,42.6455,35.1041,26.5365
26/10/1970 00:00,63.8002,42.6451,35.1031,26.5343
27/10/1970 00:00,63.7992,42.644,35.1069,26.5398
28/10/1970 00:00,63.7983,42.6428,35.112,26.5386
29/10/1970 00:00,63.7974,42.6324,35.118,26.5463
30/10/1970 00:00,63.7964,42.632,35.1255,26.546
31/10/1970 00:00,63.7881,42.6312,35.1351,26.5535
01/11/1970 00:00,63.7874,42.6305,35.1556,26.5551
02/11/1970 00:00,63.7868,42.6299,35.1825,26.5653
03/11/1970 00:00,63.786,42.6295,35.2126,26.5671
04/11/1970 00:00,63.7852,42.6293,35.2339,26.5759
05/11/1970 00:00,63.7844,42.6292,35.2515,26.5775
06/11/1970 00:00,63.7837,42.6294,35.275,26.5844
07/11/1970 00:00,63.7829,42.6298,35.298,26.5899
08/11/1970 00:00,63.7732,42.6305,35.3069,26.5891
09/11/1970 00:00,63.7716,42.6314,35.3123,26.6285
10/11/1970 00:00,63.7701,42.6255,35.3093,26.6447
11/11/1970 00:00,63.7685,42.6271,35.3235,26.666
12/11/1970 00:00,63.7665,42.6287,35.3508,26.6879
13/11/1970 00:00,63.7653,42.6317,35.3717,26.7144
14/11/1970 00:00,63.7639,42.6437,35.3962,26.7575
15/11/1970 00:00,63.7625,42.6487,35.4193,26.8108
16/11/1970 00:00,63.7612,42.6639,35.4297,26.8404
17/11/1970 00:00,63.76,42.6806,35.4351,26.9132
18/11/1970 00:00,63.7521,42.7068,35.4329,26.9485
19/11/1970 00:00,63.7513,42.7343,35.4279,26.9779
20/11/1970 00:00,63.7506,42.7607,35.4263,27.0146
21/11/1970 00:00,63.7499,42.8259,35.426,27.0551
22/11/1970 00:00,63.7493,42.8628,35.4321,27.0875
23/11/1970 00:00,63.7489,42.8988,35.4364,27.1054
24/11/1970 00:00,63.7487,42.9308,35.421,27.1203
25/11/1970 00:00,63.7488,42.97,35.4235,27.1318
26/11/1970 00:00,63.7493,43.0159,35.4218,27.136
27/11/1970 00:00,63.7505,43.0548,35.4179,27.1394
28/11/1970 00:00,63.7524,43.0757,35.4125,27.1503
29/11/1970 00:00,63.7644,43.0898,35.4067,27.1514
30/11/1970 00:00,63.7687,43.1504,35.4013,27.1531
01/12/1970 00:00,63.7836,43.1635,35.394,27.1491
02/12/1970 00:00,63.8025,43.1875,35.4137,27.1525
03/12/1970 00:00,63.8289,43.207,35.445,27.1558
04/12/1970 00:00,63.8523,43.2234,35.4712,27.1589
05/12/1970 00:00,63.8686,43.237,35.4999,27.1937
06/12/1970 00:00,63.9174,43.2587,35.5189,27.1965
07/12/1970 00:00,63.939,43.2766,35.5311,27.1984
08/12/1970 00:00,63.96,43.2926,35.5379,27.2013
09/12/1970 00:00,63.9793,43.3049,35.5455,27.2116
10/12/1970 00:00,63.9954,43.315,35.5459,27.2157
11/12/1970 00:00,64.0131,43.3259,35.5436,27.227
12/12/1970 00:00,64.0334,43.3371,35.5369,27.2425
13/12/1970 00:00,64.0533,43.3488,35.5337,27.2572
14/12/1970 00:00,64.0704,43.3592,35.5256,27.2712
15/12/1970 00:00,64.0832,43.4099,35.5235,27.2844
16/12/1970 00:00,64.0896,43.4339,35.5224,27.2982
17/12/1970 00:00,64.0971,43.4579,35.5195,27.3043
18/12/1970 00:00,64.1017,43.4803,35.5153,27.3204
19/12/1970 00:00,64.1046,43.5,35.5112,27.3243
20/12/1970 00:00,64.1473,43.5189,35.507,27.3271
21/12/1970 00:00,64.1573,43.5461,35.503,27.3294
22/12/1970 00:00,64.1699,43.5677,35.4999,27.3312
23/12/1970 00:00,64.1837,43.5851,35.4998,27.3325
24/12/1970 00:00,64.1979,43.598,35.495,27.3333
25/12/1970 00:00,64.2136,43.6071,35.489,27.3335
26/12/1970 00:00,64.2315,43.6096,35.4858,27.3334
27/12/1970 00:00,64.2578,43.6178,35.4792,27.3252
28/12/1970 00:00,64.2793,43.6234,35.4725,27.3249
29/12/1970 00:00,64.294,43.6235,35.4657,27.3188
30/12/1970 00:00,64.3019,43.6516,35.4622,27.3179
31/12/1970 00:00,64.3053,43.6314,35.4552,27.3121
01/01/1971 00:00,64.3412,43.6303,35.4483,27.3107
02/01/1971 00:00,64.3477,43.6302,35.4451,27.3096
03/01/1971 00:00,64.3542,43.6773,35.4425,27.3081
04/01/1971 00:00,64.3577,43.6779,35.4357,27.3001
05/01/1971 00:00,64.3625,43.6787,35.4286,27.2983
06/01/1971 00:00,64.3665,43.6853,35.4269,27.2896
07/01/1971 00:00,64.3695,43.6855,35.4292,27.2882
08/01/1971 00:00,64.3714,43.6854,35.4333,27.2806
09/01/1971 00:00,64.3723,43.685,35.4391,27.2791
10/01/1971 00:00,64.3747,43.6844,35.4449,27.2711
11/01/1971 00:00,64.3724,43.69,35.4443,27.2689
12/01/1971 00:00,64.3694,43.689,35.4421,27.2663
13/01/1971 00:00,64.3663,43.6878,35.4351,27.2564
14/01/1971 00:00,64.3726,43.6866,35.4323,27.2536
15/01/1971 00:00,64.3769,43.6854,35.4255,27.2508
16/01/1971 00:00,64.3727,43.684,35.4183,27.2186
17/01/1971 00:00,64.3684,43.6825,35.4179,27.2115
18/01/1971 00:00,64.3716,43.6808,35.4112,27.2094
19/01/1971 00:00,64.3672,43.6793,35.4093,27.2078
20/01/1971 00:00,64.3627,43.6839,35.4081,27.2061
21/01/1971 00:00,64.3665,43.6824,35.4077,27.2046
22/01/1971 00:00,64.3614,43.6808,35.4114,27.2036
23/01/1971 00:00,64.3567,43.6792,35.4124,27.2024
24/01/1971 00:00,64.3523,43.6778,35.4114,27.2009
25/01/1971 00:00,64.3479,43.6762,35.4168,27.2
26/01/1971 00:00,64.3515,43.6747,35.4343,27.1995
27/01/1971 00:00,64.3467,43.673,35.4488,27.1943
28/01/1971 00:00,64.3427,43.6714,35.4563,27.193
29/01/1971 00:00,64.3391,43.6696,35.4662,27.1916
30/01/1971 00:00,64.3359,43.6679,35.4771,27.1898
31/01/1971 00:00,64.3328,43.6664,35.4831,27.1877
01/02/1971 00:00,64.3311,43.665,35.4885,27.1853
02/02/1971 00:00,64.3297,43.6638,35.4934,27.1837
03/02/1971 00:00,64.3286,43.6628,35.492,27.1817
04/02/1971 00:00,64.3277,43.6676,35.4951,27.1803
05/02/1971 00:00,64.327,43.6675,35.4921,27.1787
06/02/1971 00:00,64.3266,43.6677,35.4881,27.2058
07/02/1971 00:00,64.3331,43.6684,35.4841,27.2058
08/02/1971 00:00,64.3328,43.6744,35.48,27.206
09/02/1971 00:00,64.3326,43.6762,35.472,27.2138
10/02/1971 00:00,64.3326,43.6782,35.4679,27.2146
11/02/1971 00:00,64.3327,43.6872,35.4634,27.2154
12/02/1971 00:00,64.333,43.6896,35.4498,27.2229
13/02/1971 00:00,64.3334,43.692,35.4471,27.2234
14/02/1971 00:00,64.3337,43.694,35.4664,27.2247
15/02/1971 00:00,64.3341,43.7035,35.4804,27.2262
16/02/1971 00:00,64.3339,43.7136,35.4982,27.2268
17/02/1971 00:00,64.3351,43.7155,35.4998,27.2343
18/02/1971 00:00,64.3358,43.7168,35.5119,27.2353
19/02/1971 00:00,64.3364,43.7263,35.514,27.2354
20/02/1971 00:00,64.3376,43.7272,35.5283,27.2358
21/02/1971 00:00,64.3389,43.728,35.5306,27.2357
22/02/1971 00:00,64.3406,43.7279,35.5299,27.2355
23/02/1971 00:00,64.3426,43.7369,35.5283,27.2352
24/02/1971 00:00,64.3449,43.7375,35.518,27.2349
25/02/1971 00:00,64.3474,43.7464,35.5175,27.2352
26/02/1971 00:00,64.3501,43.7469,35.5154,27.2419
27/02/1971 00:00,64.353,43.7554,35.504,27.2425
28/02/1971 00:00,64.3559,43.7564,35.502,27.2433
01/03/1971 00:00,64.3589,43.7655,35.4991,27.2497
02/03/1971 00:00,64.3692,43.7667,35.4877,27.2503
03/03/1971 00:00,64.3713,43.7753,35.4856,27.251
04/03/1971 00:00,64.3742,43.7761,35.4838,27.2513
05/03/1971 00:00,64.3773,43.782,35.4817,27.2565
06/03/1971 00:00,64.3864,43.7822,35.475,27.2564
07/03/1971 00:00,64.3885,43.7822,35.4685,27.256
08/03/1971 00:00,64.3913,43.8114,35.4644,27.255
09/03/1971 00:00,64.394,43.8128,35.453,27.2539
10/03/1971 00:00,64.4016,43.8137,35.4491,27.2525
11/03/1971 00:00,64.404,43.8144,35.4482,27.2509
12/03/1971 00:00,64.4073,43.8147,35.4477,27.2496
13/03/1971 00:00,64.4144,43.8221,35.4447,27.2479
14/03/1971 00:00,64.4175,43.8216,35.4479,27.2466
15/03/1971 00:00,64.4203,43.821,35.4496,27.2385
16/03/1971 00:00,64.4651,43.8201,35.4481,27.2365
17/03/1971 00:00,64.4685,43.8191,35.446,27.2344
18/03/1971 00:00,64.4724,43.8179,35.4444,27.2259
19/03/1971 00:00,64.4821,43.8165,35.4472,27.2241
20/03/1971 00:00,64.4856,43.8149,35.4614,27.2224
21/03/1971 00:00,64.4949,43.8132,35.4645,27.2206
22/03/1971 00:00,64.4978,43.8114,35.4621,27.2121
23/03/1971 00:00,64.5005,43.8094,35.4544,27.21
24/03/1971 00:00,64.5093,43.8074,35.4507,27.2075
25/03/1971 00:00,64.5113,43.8055,35.4409,27.2052
26/03/1971 00:00,64.5131,43.8035,35.4453,27.2035
27/03/1971 00:00,64.5149,43.8016,35.4483,27.2016
28/03/1971 00:00,64.5218,43.7998,35.4545,27.1996
29/03/1971 00:00,64.523,43.798,35.453,27.1975
30/03/1971 00:00,64.5239,43.7963,35.4454,27.1883
31/03/1971 00:00,64.5247,43.7947,35.4417,27.186
