LATITUDE,LONGITUDE,SATELLITE,CONFIDENCE,VERSION,BRIGHT_T31,FRP,DAYNIGHT
29.6865500000,113.3058200000,T,"45",6.1NRT,289.5700000000,6.3600000000,D
28.5260900000,115.8768900000,T,"59",6.1NRT,294.3400000000,6.2700000000,D
27.7838000000,114.9245900000,T,"58",6.1NRT,292.3700000000,5.6500000000,D
24.9266600000,116.2429400000,T,"77",6.1NRT,293.4200000000,14.6100000000,D
24.9252600000,116.2529600000,T,"73",6.1NRT,293.4200000000,11.2700000000,D
24.8884800000,116.0558900000,T,"63",6.1NRT,294.3400000000,7.0100000000,D
24.6312600000,111.1672900000,T,"83",6.1NRT,289.8300000000,55.6000000000,D
24.1425900000,115.2536800000,T,"64",6.1NRT,295.1900000000,8.6600000000,D
23.9424000000,111.4309400000,T,"44",6.1NRT,292.2100000000,12.2400000000,D
23.9460800000,111.4253700000,T,"37",6.1NRT,292.1900000000,14.7900000000,D
23.9083900000,111.1193100000,T,"62",6.1NRT,293.7800000000,15.6100000000,D
23.8470200000,111.0679600000,T,"79",6.1NRT,293.8400000000,43.3300000000,D
23.8449100000,111.0874400000,T,"72",6.1NRT,293.7700000000,26.8800000000,D
22.1389700000,110.1462900000,T,"77",6.1NRT,292.7900000000,43.4800000000,D
-8.7225100000,141.5910300000,A,"71",6.1NRT,296.4300000000,9.8400000000,D
-6.5789700000,139.4060500000,A,"59",6.1NRT,292.9800000000,6.2500000000,D
14.2443100000,98.9010100000,T,"60",6.1NRT,294.4900000000,38.1500000000,D
13.6403200000,98.3482000000,T,"0",6.1NRT,294.4400000000,25.5700000000,D
26.8832000000,95.5358300000,T,"25",6.1NRT,286.2300000000,7.3300000000,D
26.7895900000,94.7941000000,T,"58",6.1NRT,295.9300000000,5.7700000000,D
26.6886200000,94.6694100000,T,"58",6.1NRT,295.5900000000,11.1900000000,D
26.6698100000,94.7863000000,T,"69",6.1NRT,294.0700000000,10.6900000000,D
26.6825300000,94.6620700000,T,"76",6.1NRT,295.0100000000,14.0800000000,D
26.6808600000,94.6726200000,T,"71",6.1NRT,295.6700000000,10.7300000000,D
26.5175100000,94.8196700000,T,"62",6.1NRT,293.7500000000,7.5200000000,D
26.4277400000,94.8624400000,T,"48",6.1NRT,296.4100000000,7.1500000000,D
26.3733600000,95.1987500000,T,"100",6.1NRT,300.5500000000,111.2300000000,D
26.3713400000,95.2112100000,T,"100",6.1NRT,298.4500000000,101.7900000000,D
26.3638600000,95.1976400000,T,"100",6.1NRT,303.3500000000,273.0600000000,D
26.3619000000,95.2096900000,T,"100",6.1NRT,300.6000000000,102.0600000000,D
26.3543800000,95.1964200000,T,"35",6.1NRT,298.5200000000,12.5500000000,D
26.3449100000,95.1950200000,T,"91",6.1NRT,299.6100000000,45.0700000000,D
26.3430100000,95.2066400000,T,"38",6.1NRT,296.8700000000,11.2600000000,D
26.2911600000,95.2544400000,T,"100",6.1NRT,293.1400000000,150.5400000000,D
26.2891800000,95.2667400000,T,"94",6.1NRT,291.5400000000,135.9800000000,D
26.2835000000,95.2418500000,T,"100",6.1NRT,296.6100000000,203.4900000000,D
26.2815200000,95.2541300000,T,"100",6.1NRT,321.3800000000,1252.9800000000,D
26.2796200000,95.2658400000,T,"94",6.1NRT,298.9000000000,221.6500000000,D
26.2777600000,95.2773300000,T,"46",6.1NRT,291.3400000000,10.9200000000,D
26.2760200000,95.2879200000,T,"58",6.1NRT,290.5200000000,12.6100000000,D
26.8690000000,91.1036900000,T,"79",6.1NRT,291.8400000000,18.1900000000,D
26.3444600000,94.6862700000,T,"72",6.1NRT,294.8000000000,11.9400000000,D
26.8596800000,91.1028100000,T,"86",6.1NRT,291.8000000000,30.5400000000,D
26.2005600000,95.2430000000,T,"71",6.1NRT,292.1600000000,26.3300000000,D
26.1987100000,95.2544700000,T,"100",6.1NRT,307.3200000000,685.9800000000,D
26.1967200000,95.2668100000,T,"100",6.1NRT,297.2600000000,391.6400000000,D
26.2288900000,95.0080700000,T,"31",6.1NRT,291.2600000000,8.3900000000,D
26.1910100000,95.2420900000,T,"69",6.1NRT,296.2300000000,18.4800000000,D
26.1891500000,95.2535200000,T,"100",6.1NRT,336.9800000000,1939.3400000000,D
26.1872100000,95.2654600000,T,"100",6.1NRT,331.0100000000,1939.1100000000,D
26.1795600000,95.2527000000,T,"100",6.1NRT,309.7600000000,544.5200000000,D
26.1777400000,95.2638400000,T,"100",6.1NRT,313.7600000000,770.8100000000,D
26.2117800000,94.9951800000,T,"70",6.1NRT,293.9700000000,25.3300000000,D
26.2099700000,95.0063800000,T,"90",6.1NRT,293.8000000000,39.1700000000,D
26.2040800000,94.9834200000,T,"83",6.1NRT,294.5100000000,23.6600000000,D
26.2022800000,94.9945100000,T,"100",6.1NRT,303.1300000000,224.6800000000,D
26.2005200000,95.0053600000,T,"100",6.1NRT,304.2700000000,247.0500000000,D
26.1988200000,95.0157500000,T,"29",6.1NRT,295.6600000000,7.4800000000,D
26.1911100000,95.0040400000,T,"63",6.1NRT,297.1400000000,11.7000000000,D
26.2192500000,94.6684400000,T,"45",6.1NRT,291.7900000000,5.9400000000,D
26.2657600000,94.3125500000,T,"61",6.1NRT,294.0100000000,6.3500000000,D
26.2099900000,94.6671800000,T,"44",6.1NRT,292.9100000000,5.9200000000,D
26.2534000000,94.3316700000,T,"96",6.1NRT,297.5600000000,66.6100000000,D
26.2517500000,94.3422800000,T,"85",6.1NRT,295.3700000000,25.7000000000,D
26.1850000000,94.7048300000,T,"47",6.1NRT,288.3200000000,7.0500000000,D
26.2367400000,94.3183700000,T,"69",6.1NRT,295.9200000000,17.5200000000,D
26.2351100000,94.3287500000,T,"63",6.1NRT,293.6800000000,6.8000000000,D
26.1566900000,94.8225300000,T,"79",6.1NRT,292.7400000000,19.4300000000,D
26.7072100000,90.8657800000,T,"70",6.1NRT,297.0700000000,11.4300000000,D
26.7057900000,90.8766100000,T,"96",6.1NRT,298.4900000000,67.1000000000,D
26.6964800000,90.8750900000,T,"48",6.1NRT,296.1200000000,9.5300000000,D
26.1845300000,94.3016100000,T,"81",6.1NRT,296.6200000000,20.5100000000,D
26.1828800000,94.3123300000,T,"53",6.1NRT,294.9100000000,4.2200000000,D
26.1744200000,94.2462200000,T,"83",6.1NRT,293.6300000000,22.7300000000,D
26.1728600000,94.2562000000,T,"95",6.1NRT,296.9700000000,62.9700000000,D
26.1712200000,94.2666900000,T,"66",6.1NRT,295.2600000000,7.8200000000,D
26.1503500000,94.2206600000,T,"37",6.1NRT,293.5300000000,3.8400000000,D
26.1488200000,94.2304100000,T,"40",6.1NRT,293.0600000000,4.2300000000,D
26.0007100000,94.7009900000,T,"99",6.1NRT,292.0700000000,94.9800000000,D
26.0486800000,94.2791100000,T,"66",6.1NRT,294.2700000000,8.1200000000,D
26.2780200000,91.9975200000,T,"0",6.1NRT,301.7200000000,7.8000000000,D
25.4315600000,97.2691900000,T,"79",6.1NRT,301.5300000000,19.2300000000,D
25.5683700000,93.8047200000,T,"19",6.1NRT,292.9800000000,3.9400000000,D
25.3457300000,94.8106100000,T,"73",6.1NRT,301.1400000000,14.7300000000,D
25.6876300000,92.3280400000,T,"57",6.1NRT,295.7500000000,5.5200000000,D
25.6787200000,92.3265100000,T,"60",6.1NRT,295.8400000000,5.6000000000,D
25.2238800000,94.4751000000,T,"74",6.1NRT,296.9200000000,11.9000000000,D
25.6367500000,90.8406900000,T,"66",6.1NRT,298.7100000000,7.8300000000,D
25.4396500000,92.0659000000,T,"59",6.1NRT,296.2300000000,7.6800000000,D
25.2604800000,92.8522400000,T,"70",6.1NRT,298.8900000000,7.9000000000,D
25.2590200000,92.8621400000,T,"84",6.1NRT,299.6400000000,22.5200000000,D
25.2106300000,91.2024700000,T,"61",6.1NRT,299.2200000000,5.6500000000,D
25.2092400000,91.2126000000,T,"68",6.1NRT,299.5500000000,7.9700000000,D
24.3489800000,92.4714000000,T,"72",6.1NRT,297.3900000000,10.8600000000,D
