Time (s),N (m)
68.0000,186334.6852
68.5000,186354.0523
69.0000,186352.5529
69.5000,186343.9200
70.0000,186340.4352
70.5000,186342.6119
71.0000,186340.9538
71.5000,186349.9369
72.0000,186339.8979
72.5000,186342.3487
73.0000,186339.0235
73.5000,186357.2707
74.0000,186339.5346
74.5000,186347.3755
75.0000,186344.2207
75.5000,186337.3576
76.0000,186347.8419
76.5000,186349.7268
77.0000,186341.3504
77.5000,186343.1017
78.0000,186351.3011
78.5000,186330.2409
79.0000,186360.1590
79.5000,186344.3111
80.0000,186332.1112
80.5000,186343.6127
81.0000,186337.3109
81.5000,186349.8263
82.0000,186345.2502
82.5000,186345.8035
83.0000,186337.4025
83.5000,186349.8017
84.0000,186335.3331
84.5000,186334.8754
85.0000,186347.4569
85.5000,186339.8450
86.0000,186353.5525
86.5000,186339.3062
87.0000,186340.2587
87.5000,186335.8644
88.0000,186347.2505
88.5000,186349.5957
89.0000,186346.7511
89.5000,186344.7863
90.0000,186347.5422
90.5000,186338.6297
91.0000,186335.9896
91.5000,186323.3803
92.0000,186332.7374
92.5000,186348.8698
93.0000,186342.0988
93.5000,186337.7030
94.0000,186335.0739
94.5000,186343.9819
95.0000,186328.4280
95.5000,186335.0107
96.0000,186342.3219
96.5000,186347.6476
97.0000,186346.3322
97.5000,186343.8169
98.0000,186333.3994
99.0000,186337.5003
99.5000,186346.5236
100.0000,186339.3900
100.5000,186342.0200
101.0000,186338.1952
101.5000,186344.4013
102.0000,186343.6338
102.5000,186345.2842
103.0000,186336.4364
103.5000,186343.1560
104.0000,186355.0471
104.5000,186346.5149
105.0000,186352.7115
105.5000,186337.2099
106.0000,186340.2520
106.5000,186336.9183
107.0000,186360.4093
107.5000,186342.3713
108.0000,186362.3664
108.5000,186334.4138
109.0000,186345.2222
109.5000,186334.2914
110.0000,186330.0377
110.5000,186353.0397
111.0000,186331.9753
111.5000,186351.4622
112.0000,186339.3834
112.5000,186338.0822
113.0000,186348.0108
113.5000,186341.5761
114.0000,186337.5010
114.5000,186345.2734
115.0000,186344.8541
116.0000,186342.5215
116.5000,186344.7445
117.0000,186345.3915
117.5000,186350.1621
118.0000,186349.4405
118.5000,186345.2152
119.0000,186347.0054
119.5000,186344.1947
120.0000,186340.9565
120.5000,186337.0686
121.0000,186347.3491
121.5000,186344.0145
122.0000,186351.8612
122.5000,186338.4211
123.0000,186337.1850
123.5000,186344.8641
124.0000,186346.5675
124.5000,186344.5169
125.0000,186340.5313
125.5000,186342.9937
126.0000,186333.7004
126.5000,186347.4076
127.0000,186328.9917
127.5000,186345.1377
128.0000,186346.4264
128.5000,186348.8282
129.0000,186336.1247
129.5000,186344.3700
130.0000,186350.5538
130.5000,186352.1243
131.0000,186345.0382
131.5000,186347.1411
132.0000,186331.6119
133.0000,186356.3838
133.5000,186339.8628
134.0000,186344.2534
134.5000,186339.6887
135.0000,186336.8039
135.5000,186334.8263
136.0000,186350.5949
136.5000,186350.0582
137.0000,186347.4817
137.5000,186336.2888
138.0000,186340.0853
138.5000,186333.6536
139.0000,186333.5275
139.5000,186345.5032
140.0000,186349.2128
140.5000,186343.8447
141.0000,186342.2161
141.5000,186341.5462
142.0000,186339.5529
142.5000,186342.5081
143.0000,186343.1068
143.5000,186336.2259
144.5000,186347.3510
145.0000,186357.0416
146.0000,186354.7320
146.5000,186350.7319
147.0000,186347.0877
147.5000,186339.5781
148.0000,186353.7228
148.5000,186335.4599
149.0000,186332.9921
149.5000,186348.3676
150.0000,186343.4993
150.5000,186344.9497
151.0000,186354.5127
151.5000,186333.3214
152.0000,186350.8062
152.5000,186345.7353
153.0000,186339.9962
153.5000,186334.6897
154.0000,186343.1713
154.5000,186338.0774
155.0000,186339.3888
155.5000,186352.4893
156.0000,186343.9473
156.5000,186345.8983
157.0000,186335.0371
157.5000,186342.9614
158.0000,186341.0269
158.5000,186343.0331
159.0000,186348.5620
159.5000,186343.2420
160.0000,186341.0837
160.5000,186346.3703
161.5000,186344.8912
162.0000,186354.5075
163.0000,186346.7487
163.5000,186334.5333
164.0000,186345.1850
164.5000,186350.4151
165.0000,186342.9440
165.5000,186347.5448
166.0000,186343.0346
166.5000,186341.0441
167.0000,186348.3767
167.5000,186343.9752
168.0000,186340.6356
168.5000,186354.4842
169.0000,186345.3226
169.5000,186336.8727
170.0000,186340.9408
170.5000,186335.5994
171.0000,186347.4601
171.5000,186354.2081
172.0000,186344.9907
172.5000,186330.2794
173.0000,186340.1396
173.5000,186332.4450
174.0000,186345.4715
174.5000,186335.5994
175.0000,186349.9395
175.5000,186350.4478
176.0000,186344.7282
176.5000,186347.0200
177.0000,186350.1380
177.5000,186328.5059
178.5000,186346.7493
179.0000,186354.2809
180.0000,186333.0033
180.5000,186336.6722
181.0000,186345.2033
181.5000,186340.3441
182.0000,186339.9454
182.5000,186340.8225
183.0000,186345.8653
183.5000,186348.7766
184.0000,186348.8854
184.5000,186343.5321
185.0000,186344.9752
185.5000,186348.6759
186.0000,186351.6865
186.5000,186335.9995
187.0000,186345.3107
187.5000,186341.4329
188.0000,186338.6502
188.5000,186335.7516
189.0000,186350.1737
189.5000,186333.0144
190.0000,186341.8689
190.5000,186344.3242
191.0000,186339.6210
191.5000,186343.8947
192.0000,186338.0435
192.5000,186339.7937
193.0000,186334.9003
193.5000,186348.9138
194.0000,186335.6953
194.5000,186339.2701
195.0000,186348.4399
195.5000,186351.4846
196.0000,186348.4752
196.5000,186347.4709
197.0000,186345.0473
197.5000,186340.7077
198.0000,186350.2169
198.5000,186338.1085
199.0000,186350.4254
199.5000,186338.1294
200.0000,186338.5631
200.5000,186343.7993
201.0000,186357.5806
201.5000,186332.3180
202.0000,186333.7467
202.5000,186343.5008
203.0000,186341.8517
203.5000,186334.3023
204.0000,186338.7561
204.5000,186351.3502
205.0000,186338.2026
205.5000,186336.0504
206.0000,186335.3909
206.5000,186353.0459
207.0000,186333.6881
207.5000,186331.8849
208.0000,186332.6085
208.5000,186340.2604
209.0000,186352.2573
209.5000,186341.3669
210.0000,186341.9536
210.5000,186353.8533
211.0000,186349.6651
211.5000,186343.6615
212.0000,186349.8000
212.5000,186346.4723
213.0000,186341.3510
213.5000,186338.7637
214.0000,186325.5192
214.5000,186343.5162
215.0000,186354.4192
215.5000,186341.3684
216.0000,186338.3832
216.5000,186344.5331
217.0000,186338.6801
217.5000,186346.2920
218.0000,186331.7995
218.5000,186341.9998
219.0000,186351.3033
219.5000,186326.6996
220.0000,186353.5473
220.5000,186344.8090
221.0000,186348.3949
221.5000,186344.3810
222.0000,186335.9291
222.5000,186337.9711
223.0000,186341.0950
223.5000,186354.2868
224.0000,186341.6998
224.5000,186333.7832
225.0000,186345.8458
225.5000,186350.1710
226.0000,186332.9456
226.5000,186348.9882
227.0000,186345.8849
227.5000,186346.4334
228.0000,186348.7840
228.5000,186343.5927
229.0000,186346.3225
229.5000,186335.9391
230.0000,186346.3957
230.5000,186347.1454
231.0000,186348.2035
231.5000,186330.6028
232.0000,186350.5834
232.5000,186345.5667
233.0000,186346.7232
233.5000,186333.9224
234.0000,186343.9612
234.5000,186353.9612
235.5000,186339.0855
236.0000,186336.0103
236.5000,186357.0874
237.0000,186345.1308
237.5000,186339.4269
238.0000,186352.6033
238.5000,186340.8219
239.0000,186346.4915
239.5000,186337.8877
240.0000,186336.3179
